Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenB3,QlenC0,QlenC1,QlenC2,QlenC3,choice,precheck
341,922.8665013,952.393575,981.5253515,1030.682967,107.816466,0,29.13177656,18.95941733,29.52707367,0,30.19819845,0,2,1,2,2,1,0,1,1,2,0
342,930.7602511,951.2567322,1002.692769,1015.020099,84.25984787,0,41.36225092,0,20.49648108,10.07378573,12.32733014,0,2,2,1,1,0,0,0,0,3,0
343,939.8269076,944.9226341,945.2961287,1004.002113,64.17520549,0,0,43.27626081,5.095726457,0.373494566,15.42972366,0,0,0,0,0,2,0,0,0,0,1
344,941.6711844,949.5400901,950.0774655,1021.626036,79.9548519,0,0,53.92464758,7.868905674,0.53737547,17.62392317,0,0,0,0,0,3,0,0,0,0,1
345,943.4330841,950.6412615,992.6189831,998.2928424,54.85975837,0,0,0,7.20817743,41.97772162,5.67385932,0,2,2,0,0,0,0,1,1,3,0
346,944.0005596,944.1612236,981.5253515,1000.484769,56.48420929,0,26.87942368,6.406250628,0.160664025,10.48470425,12.55316671,0,2,2,0,0,1,0,0,0,2,0
347,945.8378168,950.4355126,952.2169101,1037.254755,91.41693841,0,0,69.40912622,4.597695727,1.781397515,15.62871895,0,0,0,0,0,4,0,0,0,0,1
348,948.6196428,967.2205801,981.6493131,1048.156568,99.53692509,0,3.532490909,61.73961854,18.60093735,10.89624206,4.767636232,0,0,0,0,0,5,2,0,0,0,1
349,949.404943,956.2874254,1025.496686,1025.833928,76.42898517,0,39.16701429,0,6.882482465,30.04224581,0.3372426,0,2,2,1,1,0,0,1,1,0,0
350,949.9893026,955.5442657,959.6474097,1041.198437,91.20913475,0,0,77.60734553,5.554963104,4.103144008,3.943682102,0,0,0,0,0,4,0,0,0,0,1
351,950.965683,957.8136681,957.8136681,973.4591715,22.49348846,0,0,0,6.847985101,0,15.64550336,0,0,0,0,0,4,0,0,0,1,1
352,951.2484787,955.2571805,1023.086811,1024.568256,73.31977773,0,47.43558834,0,4.008701761,20.39404168,1.481445939,0,2,2,1,1,0,0,1,1,3,0
353,958.6786306,966.2415036,968.1752185,982.658532,23.97990133,0,0,5.283953001,7.562872929,1.933714906,9.19936049,0,0,0,0,0,5,0,0,0,1,1
354,963.0875638,969.5953814,1068.065739,1075.194863,112.1072994,0,55.90130413,0,6.507817565,42.56905378,7.129123959,0,3,2,2,2,0,0,0,0,0,0
355,965.2100641,965.2431904,970.753071,1043.388932,78.17886755,0,0,70.44536633,0.033126379,5.509880579,2.190494264,0,0,0,0,0,5,1,0,0,0,1
356,966.2090051,971.0963626,1003.737629,1032.52552,66.31651517,0,10.42898897,26.9453388,4.887357497,22.21227699,1.842552921,0,2,2,2,2,0,0,0,0,2,0
357,969.0069963,969.590239,975.3075302,983.8474971,14.84050078,0,0,7.351001772,0.583242666,5.717291182,1.188965155,0,1,0,0,0,6,0,0,0,1,1
358,973.2196916,978.3856354,978.9287642,989.6288269,16.40913525,0,0,4.918732908,5.165943786,0.543128793,5.781329765,0,0,0,0,0,5,1,0,0,1,1
359,973.2288914,980.4550355,985.5657179,997.9528653,24.72397392,0,0,4.063108966,7.226144133,5.110682438,8.324038383,0,0,0,0,0,6,0,0,0,1,1
360,974.423391,983.7680221,1004.979903,1053.030614,78.60722323,0,9.909215753,46.79398073,9.344631035,11.302665,1.256730716,0,0,0,0,0,5,0,0,0,0,1
361,974.6899666,981.5630688,993.6772378,1051.773884,77.08391691,3.695668799,0.086244239,54.47933002,3.177433407,12.02792474,3.617315697,0,0,0,0,0,5,0,0,0,0,1
362,975.2449644,981.6775601,1043.981941,1054.860562,79.6155972,0,22.06006838,0,6.432595707,40.24431266,10.87862045,0,2,2,2,2,0,0,0,0,2,0
363,975.936144,1000.297218,1015.157725,1054.111084,78.17493954,4.518891528,4.682685146,37.87288898,19.84218218,10.17782246,1.080469245,1,0,0,0,0,6,0,0,0,0,1
364,981.6997438,992.7760364,1015.846005,1026.43124,44.7314959,0,0,0,11.07629255,23.06996836,10.58523499,0,2,1,1,1,0,0,1,1,1,0
365,987.4458287,997.6489192,1002.292999,1015.527934,28.08210568,0,0,0,10.20309054,4.644079672,13.23493546,0,1,0,0,0,6,0,0,0,1,1
366,988.6131699,1040.568071,1112.990575,1124.889915,136.2767455,0,60.55197602,0,51.95490109,11.87052828,11.89934007,0,2,1,1,1,0,0,2,2,1,0
367,997.5209908,1002.939762,1015.34878,1019.670125,22.14913454,0,0,0.179154103,5.418771654,12.40901781,4.142190977,0,0,0,0,0,7,0,0,0,1,1
368,998.2403909,1010.841636,1049.859337,1070.165627,71.9252358,0,12.24517493,0,12.60124468,26.77252677,20.30628942,0,1,0,1,1,0,0,0,0,3,0
369,999.3131447,1018.512283,1077.754952,1081.469349,82.1562046,0,21.4978159,0,19.19913799,37.74485379,3.714396923,0,1,0,1,1,0,0,0,0,1,0
370,999.477342,1001.501508,1040.010099,1046.497064,47.01972187,0,14.34449635,0,2.024166423,24.16409387,6.486965218,0,1,0,1,1,0,0,0,0,1,0
371,1003.045609,1009.557271,1026.626986,1062.030622,58.98501308,0,5.600454367,27.48409729,6.511661708,11.46926094,7.919538779,0,1,0,0,0,6,0,0,0,0,1
372,1007.399561,1009.204317,1072.267873,1073.973866,66.57430452,0,34.77762441,0,1.804755667,28.2859319,1.705992538,0,1,1,0,0,1,0,0,0,2,0
373,1014.867326,1021.050421,1068.065739,1102.857197,87.98987029,0,47.01531787,7.129123959,6.183095134,0,27.66233333,0,1,1,1,1,0,0,0,0,0,0
374,1019.439912,1025.157895,1028.04357,1050.449176,31.00926452,0,0,0,5.717983013,2.885675506,22.405606,0,0,0,0,0,7,0,0,0,1,1
375,1021.891165,1022.598706,1101.120047,1101.627245,79.7360793,0,55.15624604,0,0.707541106,23.36509461,0.507197547,0,2,1,1,1,0,0,2,2,1,0
376,1023.434375,1036.731006,1113.687918,1129.19418,105.7598047,0,31.33473336,0,13.29663077,45.62217892,15.50626163,0,2,2,1,1,0,0,2,2,0,0
377,1026.658407,1026.851236,1093.131036,1100.150917,73.49250928,0,23.00810085,0,0.19282898,43.27169903,7.019880412,0,1,2,1,1,0,0,1,1,3,0
378,1032.740886,1037.870816,1037.970398,1055.609537,22.86865046,0,0,12.47877857,5.129929841,0.099581587,5.160360468,0,0,0,0,0,6,0,0,0,1,1
379,1034.953134,1035.915527,1040.91047,1068.477056,33.52392181,0,0,21.12015273,0.962392694,4.994942992,6.446433389,0,0,0,0,0,6,1,0,0,0,1
380,1043.487698,1048.171063,1049.955984,1070.275873,26.78817534,0,0,18.52107139,4.683365425,1.784920799,1.798817727,0,0,0,0,0,4,1,0,0,0,1
381,1045.770146,1047.853765,1072.267873,1131.95175,86.18160453,0,24.41410797,1.705992538,2.083619551,0,57.97788447,0,2,2,0,0,1,0,0,0,2,0
382,1047.470979,1050.037544,1138.269776,1142.48529,95.01431075,0,43.09349229,0,2.566565174,45.13873994,4.215513336,0,2,2,0,0,0,0,2,2,3,0
383,1047.651397,1087.664588,1087.664588,1099.938393,52.28699524,0,0,0.958014252,40.01319059,0,11.3157904,0,0,0,0,0,0,0,0,0,1,1
384,1049.645336,1083.623841,1097.078942,1179.554901,129.9095642,0,0,67.63245013,33.97850406,13.45510193,14.84350804,0,2,2,1,1,0,0,1,1,2,0
385,1053.874544,1069.449675,1137.598836,1142.38809,88.51354595,0,44.23824276,0,15.57513124,23.91091798,4.789253957,0,2,2,1,1,0,0,2,2,0,0
386,1062.232108,1068.162799,1074.338676,1088.622602,26.39049447,0,0,0,5.930691233,6.175877471,14.28392576,0,0,0,0,0,0,0,0,0,1,1
387,1062.78505,1064.953032,1072.266659,1072.956622,10.17157225,0,0,0,2.167982189,7.313626557,0.689963503,0,0,0,0,0,0,0,0,0,0,1
388,1075.958454,1080.081236,1080.081236,1164.711393,88.75293852,0,0,51.87051388,4.122782128,0,32.75964252,0,1,2,0,0,0,0,0,0,2,0
389,1077.052174,1098.579792,1112.133803,1119.200167,42.14799329,0,0,0,21.52761852,13.55401082,7.066363955,0,0,0,0,0,0,0,0,0,0,1
390,1077.976982,1084.320203,1131.595971,1185.024002,107.0470199,0,12.75873914,47.95892936,6.343221605,34.51702881,5.469100938,0,1,1,0,0,0,0,2,2,2,0
391,1081.388322,1082.684706,1092.010253,1094.623886,13.23556368,0,0,0,1.296383723,9.325547322,2.613632634,0,0,0,0,0,0,0,0,0,0,1
392,1092.185644,1101.207062,1111.700734,1117.232141,25.04649686,0,0,0,9.021418103,10.49367163,5.531407122,0,0,0,0,0,0,0,0,0,1,1
393,1093.20175,1114.433434,1148.836145,1157.109762,63.90801238,0,23.16540218,0,21.2316845,11.23730853,8.273617171,0,1,1,1,1,0,0,2,2,0,0
394,1094.481903,1095.296869,1159.384305,1163.246323,68.7644196,0,42.97290739,0,0.814965937,21.11452885,3.862017429,0,1,1,1,1,0,0,4,4,3,0
395,1095.188681,1106.064188,1121.671183,1129.179023,33.99034161,0,6.926387752,3.218732042,10.87550638,8.680608025,4.289107412,0,1,1,1,1,0,0,2,2,1,0
396,1097.019671,1110.315444,1157.761497,1197.860278,100.8406071,0,21.28052719,27.26250414,13.29577289,26.16552616,12.83627669,0,1,1,1,1,0,0,2,2,2,0
397,1100.675013,1118.317192,1172.904601,1173.282932,72.60791928,0,3.353990878,0,17.64217932,51.23341784,0.378331245,0,1,1,0,0,0,0,3,3,1,0
398,1104.348893,1106.595177,1121.388998,1124.542587,20.19369372,0,5.10555662,0,2.246284611,9.6882635,3.153588988,0,0,0,0,0,0,0,0,0,1,1
399,1104.813005,1105.530724,1118.214658,1121.162656,16.34965173,0,6.603079259,0.985508672,0.717719021,6.080855283,1.962489491,0,0,0,0,0,0,0,0,0,0,1
400,1107.917051,1136.951969,1157.761497,1239.381567,131.4645166,0,20.8095286,40.09878083,29.03491821,0,41.52128899,0,1,1,0,0,0,0,3,3,2,0
401,1110.448867,1125.426889,1172.904601,1186.190988,75.74212082,0,47.47771171,0.378331245,14.97802208,0,12.90805578,0,1,1,1,1,0,0,3,3,1,0
402,1111.451329,1113.036721,1131.520126,1137.50463,26.05330041,0,5.177937784,0,1.585391289,13.30546739,5.984503944,0,1,1,0,0,0,0,0,0,0,1
403,1118.500304,1149.130452,1158.801564,1161.369543,42.86923835,0,3.20065322,0,30.63014773,6.470458729,2.567978673,0,0,0,0,0,0,0,0,0,0,1
404,1118.603467,1119.652997,1143.303213,1143.672749,25.06928209,0,11.86712899,0,1.049529888,11.78308713,0.369536078,0,0,0,0,0,0,0,0,0,0,1
405,1118.721351,1146.215794,1169.716057,1173.614879,54.89352764,0,13.16851074,0,27.49444335,10.33175162,3.898821924,0,1,1,1,1,0,0,3,3,3,0
406,1118.748944,1122.317286,1135.63225,1146.55831,27.80936529,0,0,0,3.568342208,13.31496332,10.92605976,0,0,0,0,0,0,0,0,0,1,1
407,1120.599212,1135.023802,1147.512618,1153.17654,32.57732752,0,8.279411163,0,14.42458935,4.209405559,5.663921451,0,1,0,0,0,0,0,0,0,0,1
408,1123.134839,1130.894491,1164.065332,1165.414455,42.27961654,0,17.941654,0,7.759651886,15.229187,1.349123662,0,1,0,1,1,0,0,4,4,0,0
409,1127.470881,1146.847718,1182.495117,1182.99208,55.52119988,0,17.21761383,0,19.37683732,18.42978484,0.496963901,0,1,1,1,1,0,0,3,3,0,0
410,1129.108152,1158.063973,1177.670202,1243.45548,114.3473277,1.786338585,0,61.71136574,27.16948238,19.6062284,4.073912646,0,2,1,1,1,0,0,3,3,2,0
411,1135.277651,1142.095136,1155.83278,1158.799221,23.52157006,0,0,0,6.817485238,13.73764389,2.966440934,0,1,0,0,0,0,0,0,0,1,1
412,1136.411905,1145.436694,1152.331105,1153.687193,17.27528745,0,2.075923943,0.845434444,9.02478924,4.818487007,0.51065282,0,1,0,0,0,0,0,0,0,0,1
413,1142.748235,1156.077252,1208.127383,1209.38021,66.63197499,0,26.41786441,0,13.32901744,25.63226631,1.252826838,0,1,1,1,1,0,0,1,1,0,0
414,1143.382812,1162.878175,1168.757207,1174.613445,31.2306338,0,0,0,19.4953637,5.879031691,5.85623841,0,0,0,0,0,0,0,0,0,0,1
415,1153.362541,1167.374234,1182.845002,1192.541006,39.17846508,0,7.598088625,2.19641293,14.0116928,7.872679501,7.499591222,0,0,0,0,0,0,0,0,0,1,1
416,1154.634942,1166.236223,1201.080782,1219.080676,64.44573383,0,3.479833813,0,11.60128119,31.36472544,17.99989338,0,1,1,1,1,0,0,1,1,3,0
417,1154.85081,1164.161893,1174.972322,1185.041415,30.19060523,0,0,0,9.311083364,10.81042944,10.06909243,0,0,0,0,0,1,0,0,0,1,1
418,1159.66352,1166.17542,1171.734841,1176.547364,16.88384385,3.214655145,2.581787216,2.878604134,3.297244475,2.977634276,1.933918605,0,0,0,0,0,0,0,0,0,0,1
419,1160.147048,1165.620707,1213.151861,1252.488072,92.3410242,0,12.04949426,30.3036187,5.473659406,35.48165968,9.032592142,0,2,1,0,0,0,0,1,1,2,0
420,1164.328776,1167.615965,1172.690152,1180.564639,16.23586312,0,4.118876135,3.857211614,3.287189468,0.955311124,4.017274778,0,0,0,0,0,1,0,0,0,0,1
421,1167.746769,1174.58272,1193.48234,1193.493696,25.74692646,0,0,0,6.835950815,18.89961959,0.01135606,0,1,1,1,1,0,0,2,2,1,0
422,1168.829474,1169.51723,1181.597696,1190.676654,21.84717981,0,3.172922117,0,0.687756107,8.907544135,9.078957455,0,1,1,0,0,0,0,0,0,0,1
423,1168.976314,1170.90104,1186.098234,1196.585223,27.60890847,0,11.943962,6.442772276,1.924725505,3.253231875,4.044216815,0,1,1,0,0,1,0,0,0,1,1
424,1168.978844,1171.101454,1218.991537,1229.82715,60.84830584,0,29.9793283,0.089138953,2.122609502,17.91075443,10.74647465,0,1,1,1,1,0,0,2,2,3,0
425,1171.393854,1195.60308,1198.389163,1202.091522,30.69766775,0,0,0,24.20922572,2.786083217,3.702358813,0,2,2,0,0,0,0,0,0,1,1
426,1171.712068,1180.521139,1239.984831,1264.235668,92.52359964,0,32.63072206,12.5032409,8.809071158,26.83296995,11.74759558,0,1,1,1,1,0,1,1,1,2,0
427,1172.133557,1172.481656,1183.931257,1195.020478,22.88692059,0,9.116040642,6.745396583,0.348098509,2.333560872,4.343823988,0,1,2,0,0,0,1,0,0,0,1
428,1172.602732,1176.598122,1211.741594,1217.532602,44.92986965,0,16.88421769,0,3.995390153,18.25925434,5.791007476,0,1,1,1,1,0,0,1,1,1,0
429,1173.41012,1207.845213,1244.255029,1245.637611,72.22749122,0,19.39813209,0,34.43509317,17.01168453,1.382581435,0,1,0,1,1,0,1,1,1,0,0
430,1185.279086,1200.279454,1229.528406,1238.320042,53.04095567,0,11.46214029,0,15.00036743,17.78681161,8.791636347,0,0,1,1,1,0,0,2,2,1,0
431,1186.300356,1188.321904,1196.624808,1199.439498,13.13914148,0,0,0,2.021547204,8.302903849,2.814690425,0,0,0,0,0,0,0,0,0,0,1
432,1190.244113,1205.727143,1252.157242,1266.546111,76.30199883,0,13.26439331,0,15.48303078,33.16570532,14.38886942,0,0,1,1,1,0,0,1,1,3,0
433,1194.311809,1194.824908,1227.243345,1229.325057,35.01324875,0,13.30247523,0,0.513098931,19.11596203,2.081712562,0,0,0,1,1,0,0,2,2,0,0
434,1197.769161,1218.284136,1268.874879,1277.378901,79.60974,0,21.70069521,0,20.5149748,28.8900475,8.504022493,0,1,0,1,1,0,1,0,0,2,0
435,1200.484783,1208.895488,1237.419141,1246.129435,45.64465275,0,20.63291793,0.900901211,8.410705173,7.890735136,7.809393295,0,1,1,1,1,0,0,2,2,1,0
436,1202.494823,1231.772599,1256.912222,1297.301523,94.80669926,3.232319992,5.646542087,30.07208764,26.04545539,19.49308086,10.31721329,0,1,1,1,1,0,0,0,0,1,0
437,1202.786452,1208.527857,1272.653693,1275.805625,73.01917366,5.058761076,35.72717206,0,0.682644558,28.39866359,3.151932377,1,2,1,1,1,0,1,0,0,0,0
438,1204.382849,1208.103907,1212.777223,1223.623428,19.24057956,0,0,0,3.721058089,4.673316198,10.84620527,0,0,0,0,0,0,0,0,0,0,1
439,1204.485856,1227.087057,1287.513165,1290.753304,86.26744784,4.042001309,41.7878221,0,18.55919918,18.63828627,3.240138984,2,2,1,1,1,0,0,0,0,2,0
440,1207.272263,1224.385167,1237.419141,1286.984309,79.71204598,1.623224408,13.03397353,8.710294506,15.48967954,0,40.85487399,2,2,2,1,1,0,1,2,2,1,0
441,1208.338323,1221.1569,1227.164526,1245.60132,37.26299669,0,0,6.345441783,12.81857703,6.007625741,12.09135214,0,0,0,0,0,0,0,0,0,0,1
442,1209.427504,1220.124779,1271.340138,1278.78913,69.36162537,8.856631732,32.03246242,0,1.840643538,19.18289601,7.448991671,0,2,1,1,1,0,1,0,0,3,0
443,1212.130274,1212.957814,1219.448193,1233.509967,21.37969371,0,0,4.175235116,0.827540665,6.490378789,9.886539142,0,0,0,0,0,0,0,0,0,0,1
444,1215.255491,1248.907354,1329.929844,1332.097763,116.8422714,4.869288263,55.30619727,0,28.78257476,25.71629245,2.167918615,1,2,1,1,1,0,0,0,0,1,0
445,1215.581428,1233.543329,1237.188802,1241.95685,26.37542175,0,0,0,17.96190144,3.645472907,4.768047396,0,0,0,0,0,2,0,0,0,1,1
446,1216.129004,1217.796679,1227.012767,1232.60954,16.48053587,0,0,0,1.667674177,9.216088345,5.596773345,0,0,0,0,0,0,0,0,0,1,1
447,1220.355668,1247.366675,1304.213552,1309.775355,89.41968687,4.029499067,9.545546782,0,22.98150761,47.30132989,5.561803518,0,2,2,1,1,0,0,0,0,1,0
448,1222.96126,1234.525001,1236.587152,1269.384943,46.42368315,0,1.231687099,22.26564645,11.56374147,0.830463557,10.53214457,0,0,0,0,0,1,0,0,0,0,1
449,1224.737226,1233.400347,1235.756688,1258.852798,34.11557248,0,0,9.844631342,8.663120769,2.356341699,13.25147867,0,0,0,0,0,0,0,0,0,0,1
450,1229.414833,1231.07178,1305.646012,1318.023997,88.60916376,0,41.58191344,0,1.656946798,32.99231916,12.37798435,0,1,2,2,2,0,0,0,0,0,0
451,1232.286986,1232.870598,1271.340138,1294.534234,62.24724772,0,38.46954011,7.448991671,0.583611706,0,15.74510423,0,2,2,2,2,0,1,0,0,3,0
452,1234.266521,1243.901199,1256.979904,1283.517236,49.25071486,0,0,17.6237286,9.634678648,13.07870447,8.91360315,0,0,0,0,0,2,0,0,0,0,1
453,1235.336125,1236.083963,1350.948758,1360.348884,125.0127588,0,69.56204896,0,0.747837757,45.30274624,9.400125854,0,2,2,2,2,0,1,0,0,0,0
454,1235.392794,1239.209326,1243.582451,1274.603632,39.21083791,0,0,25.8024916,3.816531616,4.373125101,5.218689594,0,1,0,0,0,2,0,0,0,0,1
455,1237.308734,1258.93717,1329.929844,1351.18566,113.8769259,0,70.99267435,2.167918615,21.62843574,0,19.08789716,0,3,2,2,2,0,0,0,0,1,0
456,1237.841226,1251.17085,1257.478523,1262.828774,24.98754814,0,0,0,13.32962431,6.307673117,5.350250718,0,0,0,0,0,3,0,0,0,1,1
457,1247.858633,1297.282599,1326.696692,1328.195698,80.33706433,0,6.388208638,0,49.42396526,23.02588468,1.499005754,0,2,1,1,1,0,0,0,0,2,0
458,1251.620089,1262.455433,1270.355466,1286.04042,34.42033045,0,0,15.1860439,10.83534347,7.900033272,0.498909814,0,0,0,0,0,2,0,0,0,0,1
459,1251.783956,1258.587694,1261.005388,1285.54151,33.75755409,0,0,22.51184739,6.803737724,2.417694619,2.024274355,0,0,0,0,0,2,0,0,0,0,1
460,1252.745144,1253.071445,1289.932063,1302.565849,49.82070474,0,34.44172018,0.821240641,0.326300675,2.418898343,11.8125449,0,2,2,1,1,0,0,0,0,2,0
461,1256.838065,1279.536195,1290.509076,1291.356571,34.51850638,0,0,0,22.69813014,10.97288107,0.847495165,0,0,0,0,0,0,0,0,0,0,1
462,1262.141449,1299.272016,1343.064896,1346.360424,84.21897499,0,27.42467576,0,37.13056703,16.36820425,3.295527945,0,2,2,2,2,0,0,0,0,2,0
463,1267.944751,1270.658337,1276.628563,1289.917236,21.97248518,0,0,9.411856367,2.713586457,5.970226087,3.876816273,0,0,0,0,0,2,0,0,0,0,1
464,1268.070344,1275.048822,1310.582701,1324.614312,56.54396739,0,0,0,6.97847772,35.53387937,14.0316103,0,2,2,2,2,0,0,0,0,3,0
465,1269.212995,1278.763109,1310.582701,1350.186754,80.97375872,0,31.81959279,14.0316103,9.550113718,0,25.57244192,0,2,2,1,1,0,0,0,0,3,0
466,1273.05443,1279.972265,1359.29377,1383.423173,110.3687425,1.994391683,70.97649371,1.055114153,4.923442647,8.3450117,23.07428857,0,1,2,1,1,0,0,1,1,0,0
467,1273.688057,1276.087448,1277.305471,1288.899056,15.210999,0,0,0,2.399391624,1.218022345,11.59358503,0,0,0,0,0,3,0,0,0,1,1
468,1276.236759,1307.414791,1386.429705,1391.567704,115.3309445,2.526349539,51.87897944,0,28.65168204,27.13593458,5.137998937,0,1,2,1,1,0,0,3,3,0,0
