,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A0,Qlen_A1,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
0,0,12.52857,27.12399178,31.93658052,31.93658052,0,0,0,12.52857,14.59542178,4.812588735,0,0,0,0,0,0,0,0,1,0
1,0.23175227,0.687925138,60.97908475,65.31426605,65.08251378,0,0,0,0.456172868,60.29115961,4.335181308,0,0,0,0,0,0,0,0,0,0
2,0.571487985,10.76037599,16.47262636,26.54213164,25.97064365,0,0,0,10.188888,5.712250377,10.06950527,0,0,0,0,0,0,0,0,0,1
3,4.871664625,17.40023463,17.40023463,47.22779104,42.35612641,0,0,0,12.52857,0,29.82755641,0,0,0,0,0,0,0,0,2,0
4,8.141988111,20.67055811,44.82234491,48.37328904,40.23130093,0,0,2.405446127,12.52857,24.1517868,1.145498002,0,0,0,0,0,0,0,0,2,0
5,17.06201136,27.25089936,30.56956516,45.81786293,28.75585157,0,0,0,10.188888,3.3186658,15.24829777,0,0,0,0,0,0,0,0,0,1
6,19.99441815,30.18330615,30.56956516,64.12305592,44.12863778,0,0.386259014,15.24829777,10.188888,0,18.30519299,0,0,0,0,0,0,0,0,0,1
7,26.5152184,39.0437884,47.32151978,60.90247279,34.38725439,0,0,9.533584807,12.52857,8.277731383,4.047368197,0,0,0,0,0,0,0,0,1,0
8,29.16435442,29.53308577,29.53308577,56.85510459,27.69075016,0,0,2.403494749,0.368731342,0,24.91852407,0,0,0,0,0,0,0,0,1,0
9,30.48061116,66.77635203,101.048436,112.3733473,81.89273618,0,20.44010157,0,36.29574087,13.83198242,11.32491131,0,0,0,0,0,0,0,1,0,0
10,31.02849684,41.21738484,49.54386585,68.48313409,37.45463725,0,0,14.57919008,10.188888,8.326481007,4.360078168,0,0,0,0,0,0,0,0,0,1
11,31.91350695,42.10239495,56.99405014,76.69010431,44.77659736,0,7.441470895,11.48908395,10.188888,7.450184296,8.206970221,0,0,0,0,0,1,0,0,0,1
12,33.89682479,45.71553115,67.8929636,89.53425591,55.63743112,0,0,0,11.81870636,22.17743245,21.64129231,0,0,0,0,0,0,0,0,2,0
13,43.41336892,69.40258942,87.85195693,90.53875815,47.12538922,2.302162228,0,1.682298977,23.68705826,18.44936752,1.004502236,0,0,0,0,0,0,0,0,2,0
14,45.91810933,58.44667933,78.6817217,84.66906253,38.7509532,0,0,0,12.52857,20.23504237,5.987340831,0,0,0,0,0,0,0,0,1,0
15,47.22448648,57.41337448,75.11574055,83.41297667,36.18849019,0,0,1.57436376,10.188888,17.70236607,6.722872356,0,0,1,0,0,0,0,0,0,1
16,47.42790044,67.84454675,109.8607062,112.6891707,65.26127028,19.34845159,10.83717495,0,1.068194721,31.17898453,2.828464501,0,0,1,0,0,1,0,0,1,0
17,53.32420626,65.85277626,87.2164536,97.60421786,44.28001159,0,0,0,12.52857,21.36367734,10.38776425,1,0,0,0,0,0,0,0,0,0
18,56.4252388,66.6141268,90.87419471,97.55725006,41.13201126,0,8.501613754,0,10.188888,15.75845416,6.683055347,0,0,0,0,0,0,0,0,0,1
19,59.28580638,71.81437638,95.26868929,107.5688034,48.28299699,0,16.03758055,0,12.52857,7.416732353,12.30011408,1,0,0,0,0,0,0,0,2,0
20,60.54063467,70.72952267,98.08208977,101.6988796,41.15824496,0,20.14467204,0,10.188888,7.207895058,3.616789865,0,0,0,0,0,0,0,0,0,1
21,65.48694209,76.8030148,101.3850336,107.9879371,42.50099502,1.127184712,21.27907497,0.313846019,10.188888,3.302943846,6.289057476,0,0,1,0,0,0,0,0,0,1
22,71.71479174,81.90367974,104.9866192,119.2685156,47.55372387,0,19.48135387,3.001317892,10.188888,3.601585603,11.28057851,0,0,2,0,0,0,0,0,0,1
23,74.14306469,86.67163469,181.0224946,192.4743691,118.3313044,0,64.03620674,0,12.52857,30.31465321,11.45187443,0,0,1,1,1,2,0,0,1,0
24,77.12805323,87.31694123,112.8396518,134.4296103,57.30155708,0,17.66967798,6.428863785,10.188888,7.853032615,15.1610947,0,0,2,0,0,0,0,0,0,1
25,78.01085433,92.09256774,117.0649655,137.5616099,59.55075555,3.892825412,20.74708409,17.36464481,10.188888,4.225313676,3.131999567,0,0,3,0,0,1,0,0,0,1
26,80.27003998,80.89716757,150.7078414,159.7071414,79.43710146,0,28.96353866,0,0.627127583,40.8471352,8.999300011,0,0,1,0,1,2,0,0,1,0
